Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Phoenix Suns,27.5,62,16,57,21,7.81,-0.53,7.28,115.0,107.2,+7.8,99.7,.227,.353,.584,,.551,11.6,22.0,.181,,.509,13.0,76.9,.190,,Phoenix Suns Arena,629029,16129
2,Boston Celtics,26.1,49,30,56,23,6.97,-0.38,6.59,114.0,106.8,+7.2,96.4,.241,.422,.576,,.539,12.3,24.0,.197,,.501,12.5,77.4,.184,,TD Garden,727928,17754
3,Memphis Grizzlies,24.0,55,23,53,25,6.24,-0.51,5.74,114.8,108.6,+6.2,100.2,.245,.345,.553,,.522,11.2,30.2,.180,,.521,13.2,78.0,.192,,FedEx Forum,612137,15696
4,Utah Jazz,29.3,46,32,52,26,5.49,-0.31,5.18,116.6,111.0,+5.6,97.1,.264,.470,.590,,.557,12.7,25.0,.203,,.523,10.9,78.1,.164,,Vivint Smart Home Arena,695628,18306
5,Golden State Warriors,27.6,50,29,52,27,5.20,0.05,5.25,112.2,106.9,+5.3,98.4,.236,.459,.580,,.550,13.5,22.8,.181,,.510,13.1,78.7,.200,,Chase Center,722560,18064
6,Miami Heat,28.2,51,28,50,29,4.38,-0.16,4.22,113.3,108.7,+4.6,95.8,.251,.420,.581,,.544,13.4,23.6,.202,,.522,13.8,78.0,.211,,FTX Arena,765168,19620
7,Milwaukee Bucks,28.5,48,30,46,32,3.03,-0.17,2.86,114.8,111.8,+3.0,99.8,.256,.433,.579,,.546,12.0,23.1,.198,,.536,11.6,78.6,.165,,Fiserv Forum,697535,17438
8,Minnesota Timberwolves,24.2,45,34,47,32,2.94,-0.07,2.87,114.3,111.4,+2.9,100.8,.253,.454,.573,,.538,12.5,24.5,.197,,.533,14.3,75.0,.227,,Target Center,605740,15941
9,Denver Nuggets,27.7,47,32,46,33,2.53,-0.17,2.37,114.5,111.9,+2.6,97.7,.243,.417,.590,,.556,13.2,21.9,.193,,.537,11.7,78.2,.185,,Ball Arena,639185,16821
10,Dallas Mavericks,26.7,49,30,46,33,2.44,0.04,2.48,112.0,109.5,+2.5,95.3,.245,.438,.567,,.534,11.6,21.2,.189,,.522,12.2,77.9,.183,,American Airlines Center,767593,19682
11,Toronto Raptors,24.7,45,33,45,33,2.33,0.13,2.46,112.8,110.4,+2.4,95.9,.234,.375,.543,,.511,11.1,28.4,.177,,.534,14.5,75.4,.200,,Scotiabank Arena,487943,12841
12,Philadelphia 76ers,26.8,48,30,45,33,2.37,0.08,2.45,112.9,110.5,+2.4,96.1,.282,.375,.575,,.530,11.6,19.9,.232,,.522,12.0,77.1,.190,,Wells Fargo Center,804237,20621
13,Cleveland Cavaliers,24.7,43,36,45,34,2.18,-0.04,2.14,111.5,109.2,+2.3,96.1,.262,.387,.570,,.536,13.4,24.0,.199,,.519,12.4,76.4,.171,,Rocket Mortgage Fieldhouse,738796,18470
14,Atlanta Hawks,26.1,41,37,42,36,1.42,0.04,1.47,116.3,114.9,+1.4,97.7,.255,.389,.580,,.542,10.8,22.9,.207,,.543,11.6,76.8,.177,,State Farm Arena,655361,16384
15,Chicago Bulls,26.3,45,33,40,38,0.31,-0.18,0.13,113.4,113.0,+0.4,98.3,.247,.334,.579,,.541,11.6,20.2,.201,,.537,11.9,78.3,.200,,United Center,792793,20863
